iter	Logloss	Accuracy
0	0.6850921077	0.7550200803
1	0.6738809375	0.8112449799
2	0.6652439391	0.7991967871
3	0.6593642398	0.7911646586
4	0.6526349187	0.7911646586
5	0.6462255693	0.7911646586
6	0.6427394571	0.7871485944
7	0.6386275034	0.7871485944
8	0.6323508842	0.7871485944
9	0.6255861153	0.7911646586
10	0.6218766817	0.7911646586
11	0.614952918	0.7871485944
12	0.6087423826	0.7911646586
13	0.6039504482	0.7911646586
14	0.5998672793	0.7911646586
15	0.5965834792	0.7871485944
16	0.589365273	0.7871485944
17	0.5847607307	0.7871485944
18	0.5783943084	0.7831325301
19	0.5769286618	0.7831325301
20	0.5712162288	0.7871485944
21	0.5699097116	0.7871485944
22	0.5656281717	0.7911646586
23	0.5644446275	0.7911646586
24	0.5591875164	0.7911646586
25	0.5575013501	0.7911646586
26	0.5546187856	0.7871485944
27	0.5516044004	0.7871485944
28	0.5466517366	0.7911646586
29	0.542533597	0.7911646586
30	0.5394922284	0.7911646586
31	0.538070586	0.7911646586
32	0.534674017	0.7911646586
33	0.531976122	0.7911646586
34	0.5299113117	0.7871485944
35	0.52695681	0.7871485944
36	0.5239065828	0.7871485944
37	0.5197241532	0.7871485944
38	0.5179311621	0.7871485944
39	0.5154656158	0.7871485944
40	0.5120037686	0.7911646586
41	0.5087162119	0.7951807229
42	0.5073427413	0.7951807229
43	0.5068016386	0.7911646586
44	0.5032212607	0.7951807229
45	0.5009232155	0.7951807229
46	0.4963984973	0.7951807229
47	0.4949908939	0.7951807229
48	0.4942057123	0.7951807229
49	0.4925446246	0.7991967871
50	0.4910890584	0.7991967871
51	0.4902594768	0.7991967871
52	0.4894114591	0.7951807229
53	0.4888106705	0.7951807229
54	0.4881064289	0.7951807229
55	0.4859592637	0.7951807229
56	0.4857418273	0.7951807229
57	0.4841121471	0.7951807229
58	0.4822257887	0.7951807229
59	0.4807402835	0.7951807229
60	0.4777867831	0.7991967871
61	0.4759216902	0.7991967871
62	0.4742632966	0.7951807229
63	0.4715924748	0.8032128514
64	0.4710168627	0.8032128514
65	0.4683364282	0.8032128514
66	0.466901457	0.8032128514
67	0.4666620729	0.8032128514
68	0.4634024332	0.8032128514
69	0.4594409164	0.8072289157
70	0.4579941836	0.8072289157
71	0.4573272365	0.8032128514
72	0.4532356304	0.8072289157
73	0.4526705852	0.8072289157
74	0.4520727442	0.8072289157
75	0.4483619207	0.8072289157
76	0.4455896651	0.8072289157
77	0.4453767763	0.8072289157
78	0.4444329539	0.8072289157
79	0.4429649533	0.8072289157
80	0.4420914709	0.8072289157
81	0.4391214984	0.8072289157
82	0.436924416	0.8112449799
83	0.4364178604	0.8112449799
84	0.4348210076	0.8152610442
85	0.432250874	0.8152610442
86	0.4302476597	0.8192771084
87	0.4272662209	0.8232931727
88	0.42521868	0.8232931727
89	0.4233404417	0.8232931727
90	0.4211288286	0.8232931727
91	0.420918932	0.8232931727
92	0.4186293602	0.8232931727
93	0.4157933541	0.8273092369
94	0.4130158272	0.8313253012
95	0.410187351	0.8313253012
96	0.4083767413	0.8313253012
97	0.4075379106	0.8313253012
98	0.4050107438	0.8353413655
99	0.4033942454	0.8353413655
100	0.4001917327	0.8393574297
101	0.39893977	0.8393574297
102	0.3974531844	0.8393574297
