iter	Passed	Remaining
0	27	27717
1	37	18739
2	66	22110
3	68	17148
4	80	15967
5	85	14177
6	87	12477
7	93	11541
8	98	10885
9	115	11475
10	129	11654
11	142	11760
12	166	12603
13	191	13464
14	207	13634
15	218	13410
16	226	13072
17	235	12860
18	255	13191
19	258	12649
20	281	13137
21	283	12582
22	296	12591
23	298	12153
24	307	12006
25	309	11609
26	324	11696
27	343	11926
28	360	12084
29	370	11987
30	393	12285
31	396	12001
32	422	12369
33	427	12144
34	444	12258
35	461	12357
36	471	12270
37	492	12476
38	510	12571
39	525	12607
40	534	12509
41	540	12321
42	548	12211
43	555	12062
44	572	12155
45	589	12224
46	602	12210
47	615	12214
48	619	12015
49	628	11935
50	645	12005
51	652	11890
52	664	11867
53	665	11664
54	676	11629
55	688	11602
56	689	11414
57	702	11412
58	710	11335
59	724	11346
60	737	11348
61	754	11411
62	763	11359
63	777	11366
64	789	11351
65	813	11518
66	824	11478
67	834	11439
68	855	11547
69	873	11599
70	892	11677
71	907	11695
72	916	11642
73	924	11572
74	926	11430
75	948	11529
76	962	11535
77	964	11404
78	982	11451
79	996	11454
80	1017	11542
81	1031	11546
82	1040	11493
83	1049	11442
84	1058	11396
85	1087	11555
86	1104	11589
87	1124	11657
88	1147	11743
89	1168	11816
90	1192	11908
91	1206	11908
92	1220	11900
93	1240	11956
94	1265	12058
95	1291	12162
96	1305	12153
97	1323	12181
98	1345	12246
99	1365	12285
100	1386	12340
101	1414	12451
102	1427	12430
103	1439	12402
104	1460	12446
105	1485	12526
106	1513	12629
107	1519	12549
108	1529	12500
109	1545	12505
110	1565	12537
111	1571	12461
112	1585	12447
113	1611	12525
114	1622	12485
115	1636	12474
116	1654	12488
117	1661	12416
118	1681	12449
119	1695	12434
120	1722	12512
121	1735	12492
122	1760	12552
123	1774	12534
124	1796	12577
125	1816	12602
126	1831	12589
127	1846	12576
128	1855	12528
129	1862	12464
130	1880	12477
131	1907	12540
132	1926	12558
133	1937	12520
134	1962	12573
135	1975	12552
136	1998	12586
137	2011	12563
138	2027	12561
139	2030	12470
140	2042	12440
141	2054	12415
142	2081	12477
143	2099	12481
144	2123	12520
145	2141	12526
146	2166	12571
147	2187	12593
148	2203	12587
149	2223	12601
150	2231	12544
151	2251	12563
152	2262	12526
153	2282	12540
154	2293	12502
155	2317	12540
156	2343	12585
157	2353	12539
158	2378	12582
159	2397	12589
160	2419	12606
161	2436	12603
162	2452	12594
163	2467	12577
164	2492	12613
165	2517	12648
166	2539	12666
167	2566	12710
168	2579	12681
169	2599	12689
170	2609	12651
171	2633	12676
172	2642	12633
173	2660	12628
174	2670	12590
175	2680	12549
176	2693	12524
177	2706	12499
178	2731	12528
179	2736	12467
180	2746	12427
181	2774	12468
182	2789	12453
183	2812	12471
184	2829	12466
185	2847	12461
186	2871	12481
187	2892	12493
188	2898	12437
189	2907	12397
190	2929	12408
191	2951	12421
192	2970	12419
193	2997	12453
194	3022	12476
195	3046	12498
196	3071	12521
197	3097	12548
198	3104	12496
199	3111	12444
200	3132	12451
201	3144	12424
202	3163	12421
203	3185	12428
204	3208	12442
205	3225	12433
206	3246	12436
207	3260	12415
208	3279	12410
209	3297	12406
210	3316	12399
211	3342	12422
212	3367	12441
213	3394	12466
214	3415	12469
215	3417	12405
216	3434	12393
217	3451	12380
218	3465	12358
219	3490	12376
220	3505	12358
221	3512	12308
222	3522	12272
223	3541	12269
224	3555	12245
225	3557	12182
226	3573	12167
227	3579	12118
228	3581	12057
229	3584	12000
230	3598	11978
231	3613	11962
232	3639	11982
233	3659	11978
234	3675	11963
235	3701	11981
236	3724	11990
237	3751	12010
238	3757	11965
239	3768	11934
240	3788	11930
241	3810	11934
242	3838	11958
243	3860	11960
244	3885	11975
245	3908	11979
246	3935	11998
247	3943	11956
248	3968	11968
249	3975	11925
250	4003	11946
251	4034	11974
252	4051	11963
253	4076	11972
254	4098	11973
255	4120	11974
256	4142	11975
257	4160	11964
258	4188	11983
259	4208	11977
260	4229	11976
261	4252	11977
262	4263	11947
263	4285	11947
264	4307	11945
265	4328	11945
266	4353	11951
267	4375	11949
268	4396	11948
269	4418	11946
270	4420	11891
271	4441	11887
272	4463	11886
